code,location,sublocation,units,available
TERM09CM,A,,1,1
TERM20MM,A,,1,1
TERM25MM,A,,1,1
SPAC1865,A,01,172,172

BUCKP50W,B,01,19,19
SP3036SM,B,02,30,30
SP11095P,B,03,1,1
SP130150,B,04,1,1
FACT24DC,B,03,1,1
MOUNTC45,B,05,30,30
STOPDINR,B,06,9,9

SEEDE5LO,C,01,5,5
NUCLEO64,C,02,X,X
MSP432P4,C,03,2,2
MSP430BL,C,,1,1
SHEKGEMG,C,,1,1
ARDMEGA3,C,04,7,7

UNOR4MIN,D,01,18,18
STM32FBP,D,02,4,4
ARDNANO0,D,03,5,5
ESP32ELE,D,04,4,4
HELESPV3,D,05,6,6
HELESPV2,D,06,3,3
ORPI3LTS,D,07,2,2
LCD16X20,D,,1,1#Añadir bolsa
DISPLCD0,D,,1,1#Añadir bolsa
XIAO32S3,D,08,36,36
PIC16F87,D,08,19,19
RFLORA12,D,09,35,35
HELESPV3,D,05,3,3
HELESPV2,D,06,3,3
RFLORA12,D,09,35,35

BMP280SB,E,01,15,15
BME280SB,E,01,8,8
THTK1200,E,02,5,5
MAX31855,E,18,4,4
MAX31858,E,,1,1
MAX66751,E,03,2,2
HCSR0400,E,04,3,3
MBOTFC00,E,05,4,4
SNA00000,E,06,1,1
ACS71200,E,07,3,3
INA219CS,E,07,4,4
INA219SS,E,08,21,21
YL038000,E,09,4,4
YL069000,E,09,4,4
ITG0MPU0,E,10,6,6
VL53LO1X,E,11,3,3
ACVSM2AM,E,12,2,2
CSRESIST,E,20,25,25
HALL3144,E,21,6,6
DISP7SEG,E,12,5,5
HRSENSOR,E,13,1,1
MAX1044C,E,5,4,4
CRCW0603,E,4,1,1
667ERA12,E,4,1,1
C22UFU81,E,4,1,1
R1KH7217,E,4,5,5
C1NF7882,E,4,24,24
M20Z9990,E,2,1,1
ACM90707,E,2,6,6
ICM20948,E,15,38,38
UVSENSOR,E,16,2,2
GPSMODUL,E,17,38,38

SMAMTM6I,F,01,8,8
SMAFTUF1,F,02,5,5
SMAFTUF2,F,02,1,1
SMATUHF1,F,03,5,5
ANTL900M,F,04,4,4
MCXJPCB0,F,05,3,3
ANTGSMFM,F,06,4,4
SMAFTUF3,F,04,6,6
SMAFLANG,F,05,5,5
SMARAPLU,F,06,5,5
A24GXIAO,F,05,6,6
XRDSRFN0,F,07,1,1
SIM76000,F,08,1,1
RFIDRDR0,F,09,1,1
FUSE0239,F,1,14,14
SPRIANTE,F,08,20,20

CAPT470U,H,01,6,6
ACS724IC,H,02,12,12
RESP1R00,H,03,2,2
RESP0R50,H,04,3,3
RESP0R30,H,05,3,3
RESP0R75,H,06,3,3
RESBOOK0,H,07,1,1
BMS4S40A,H,08,20,20
BMS3S40A,H,09,20,20
CMM12PIN,H,10,100,100

MG90STP0,G,02,4,4
MSR13900,G,02,2,2
S51SERVO,G,01,20,20

TORNM234,J,02,5,5
SPRINGKI,J,01,4,4
